cod_reg,regione,cod_prov,provincia,comune,cod_istat,flag,arr_tot_res,arr_tot_nonres,arr_tot_tot,arr_alb_res,arr_alb_nonres,arr_alb_tot,arr_ext_res,arr_ext_nonres,arr_ext_tot,col16,pre_tot_res,pre_tot_nonres,pre_tot_tot,pre_alb_res,pre_alb_nonres,pre_alb_tot,pre_ext_res,pre_ext_nonres,pre_ext_tot,anno
160,PUGLIA,075,LECCE,Salve,075066,,9544.0,417.0,9961.0,3613.0,171.0,3784.0,5931.0,246.0,6177.0,,61358.0,2443.0,63801.0,21836.0,975.0,22811.0,39522.0,1468.0,40990.0,2015
160,PUGLIA,075,LECCE,Sanarica,075067,,194.0,69.0,263.0,,,,,,,,528.0,247.0,775.0,,,,,,,2015
160,PUGLIA,075,LECCE,San Cesario di Lecce,075068,,269.0,38.0,307.0,,,,,,,,1314.0,186.0,1500.0,,,,,,,2015
160,PUGLIA,075,LECCE,Sannicola,075070,,1961.0,565.0,2526.0,,,,,,,,8584.0,2153.0,10737.0,,,,,,,2015
160,PUGLIA,075,LECCE,Santa Cesarea Terme,075072,,17403.0,2725.0,20128.0,13153.0,2159.0,15312.0,4250.0,566.0,4816.0,,77127.0,10343.0,87470.0,56786.0,7629.0,64415.0,20341.0,2714.0,23055.0,2015
160,PUGLIA,075,LECCE,Specchia,075077,,696.0,60.0,756.0,313.0,11.0,324.0,383.0,49.0,432.0,,2545.0,180.0,2725.0,874.0,35.0,909.0,1671.0,145.0,1816.0,2015
160,PUGLIA,075,LECCE,Spongano,075078,,200.0,142.0,342.0,,,,,,,,1194.0,788.0,1982.0,,,,,,,2015
160,PUGLIA,075,LECCE,Squinzano,075079,,115.0,52.0,167.0,,,,,,,,405.0,282.0,687.0,,,,,,,2015
160,PUGLIA,075,LECCE,Sternatia,075080,,582.0,449.0,1031.0,,,,,,,,1653.0,1266.0,2919.0,,,,,,,2015
160,PUGLIA,075,LECCE,Supersano,075081,,458.0,59.0,517.0,,,,,,,,1988.0,349.0,2337.0,,,,,,,2015
160,PUGLIA,075,LECCE,Taviano,075085,,2580.0,109.0,2689.0,1145.0,81.0,1226.0,1435.0,28.0,1463.0,,12928.0,310.0,13238.0,2769.0,152.0,2921.0,10159.0,158.0,10317.0,2015
160,PUGLIA,075,LECCE,Trepuzzi,075087,,433.0,68.0,501.0,,,,,,,,1520.0,432.0,1952.0,,,,,,,2015
160,PUGLIA,075,LECCE,Tricase,075088,,6109.0,744.0,6853.0,3762.0,566.0,4328.0,2347.0,178.0,2525.0,,16878.0,2550.0,19428.0,9231.0,1816.0,11047.0,7647.0,734.0,8381.0,2015
160,PUGLIA,075,LECCE,Tuglie,075089,,1643.0,457.0,2100.0,,,,,,,,6631.0,1913.0,8544.0,,,,,,,2015
160,PUGLIA,075,LECCE,Ugento,075090,,84471.0,18932.0,103403.0,58668.0,15514.0,74182.0,25803.0,3418.0,29221.0,,645004.0,155576.0,800580.0,423074.0,130456.0,553530.0,221930.0,25120.0,247050.0,2015
160,PUGLIA,075,LECCE,Uggiano la Chiesa,075091,,3730.0,1181.0,4911.0,,,,,,,,17038.0,4272.0,21310.0,,,,,,,2015
160,PUGLIA,075,LECCE,Veglie,075092,,618.0,53.0,671.0,,,,,,,,2545.0,203.0,2748.0,,,,,,,2015
160,PUGLIA,075,LECCE,Vernole,075093,,7852.0,989.0,8841.0,,,,,,,,39574.0,4605.0,44179.0,,,,,,,2015
160,PUGLIA,075,LECCE,Zollino,075094,,187.0,306.0,493.0,,,,,,,,863.0,2135.0,2998.0,,,,,,,2015
160,PUGLIA,075,LECCE,Castro,075096,,7464.0,1981.0,9445.0,6196.0,1854.0,8050.0,1268.0,127.0,1395.0,,24470.0,7200.0,31670.0,20599.0,6927.0,27526.0,3871.0,273.0,4144.0,2015
160,PUGLIA,075,LECCE,Porto Cesareo,075097,,43165.0,8841.0,52006.0,25710.0,7799.0,33509.0,17455.0,1042.0,18497.0,,229997.0,45908.0,275905.0,123266.0,41478.0,164744.0,106731.0,4430.0,111161.0,2015
160,PUGLIA,075,LECCE,Altri comuni della provincia di LECCE, ,,2362.0,464.0,2826.0,,,,,,,,9576.0,2407.0,11983.0,,,,,,,2015
160,PUGLIA,075,LECCE,Alessano,075002,,1436.0,437.0,1873.0,,,,,,,,4494.0,1772.0,6266.0,,,,,,,2016
